DATE,TITLE,MAIN_NEWS,SOURCE_URL
०७७ फागुन १४ गते,परमादेशपछि कुटपिट घटनाका आरोपितविरूद्ध उजुरी दर्ता,"डाक्नेश्वरी नपा-८ की २३ वर्षीया कोशिलादेवी मुखियालाई कुटपिट गरेको आरोपमा प्रहरीले डाक्नेश्वरी नपा-८ का ४५ वर्षीय राजकुमार मुखिया, ४० वर्षीय जीवन मुखिया, ५६ वर्षीय लक्ष्मी मुखिया, ४० वर्षीय रामाकान्त मुखिया, २१ वर्षीय संजिव मुखिया, २० वर्षीय सुरज मुखिया र २० वर्षीय सन्तोष मुखियाविरुद्ध फागुन १२ गते उजुरी दर्ता गरेको छ । उच्च अदालत जनकपुर राजविराजको इजलासले फागुन ६ गते गरेको परमादेशपछि आरोपितहरूविरुद्ध गर्भपतन र ज्यान मार्ने उद्योगको उजुरी दर्ता गरिएको इलाका प्रहरी कार्यालय कल्याणपुरले जनाएको छ । जाहेरवाला ३५ वर्षीय धर्मदेव मुखिया तथा उहााकी भाइबुहारी कोशिलादेवी मुखियाका अनुसार आरोपितहरूले पुरानो रिसइबीका कारण ०७७ जेठ २१ गते घरेलु हातहतियारले कुटपिट गरी घाइते बनाएका थिए । कुटपिटबाट घाइते पीडित कोशिलादेवीले राजविराजस्थित गजेन्द्रनारायण सिंह अस्पतालमा जेठ २७ गते जन्म दिएको शिशु बालकको असार १६ गते मृत्यु भएको थियो । शवको पोष्टमार्टम धरानस्थित बिपी कोइराला स्वास्थ्य विज्ञान प्रतिष्ठानमा असार १७ गते गरिएको थियो । पीडितले इलाका प्रहरी कार्यालय कल्याणपुरमा दिएको उजुरी दर्ता नभएपछि उच्च अदालत जनकपुर राजविराज इजलासमा परमादेशको मागसहित रिट दायर गरिएको थियो । कथित बोक्सीको आरोप लगाएको आरोपमा दुई पक्षबीच जेठ २१ गते दोहोरो झडपसमेत भएको थियो । झडपका क्रममा घाइते भएकी भनिएकी कोशिलादेवी घटनास्थलमा नै नआएको र २१ दिने छोराको मृत्यु कालगतीले भएको आरोपित राजकुमारको भनाई छ । अदालतको परमादेशपछि प्रहरीले उजुरी दर्ता गरेको जनाउँदै आरोपितहरू फरार रहेकाले खोजी कार्य भइरहेको इलाका प्रहरी कार्यालय कल्याणपुर, सप्तरीका इन्स्पेक्टर धर्मराज मुडभरीले जानकारी दिनुभयो । ",http://inseconline.org/np/news/%e0%a4%aa%e0%a4%b0%e0%a4%ae%e0%a4%be%e0%a4%a6%e0%a5%87%e0%a4%b6%e0%a4%aa%e0%a4%9b%e0%a4%bf-%e0%a4%95%e0%a5%81%e0%a4%9f%e0%a4%aa%e0%a4%bf%e0%a4%9f-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be/
०७७ पुस ८ गते,बलात्कार घटनाका आरोपित विरूद्ध उजुरी,"२९ वर्षीया महिलालाई  बलात्कार गरेको आरोपमा पीडितपक्षले लुङग्री गाउँपालिका-२ का  ३० वर्षीया गोबर्धन घर्ती क्षेत्री विरूद्ध  इलाका प्रहरी कार्यालय, सुलिचौरमा पुस ५ गते मुद्दा दर्ता गराएका छन् । पीडितलाई आरोपितले ०७७ जेठ १६ गते  बलत्कार गरेको र बलात्कारबाट सात महिनाको गर्भ रहेको जिल्ला प्रहरी कार्यालयका डिएसपी नरेशराज सुवेदीले बताउनु भयो । उहाँले  आरोपित जिल्ला बाहिर रहेको र खोजी भइरहेको बताउनु भयो । पीडितको स्वास्थ्य परीक्षण पुस ५ गते जिल्ला अस्पताल, रेउघामा गरिएको छ  । ",http://inseconline.org/np/news/%e0%a4%ac%e0%a4%b2%e0%a4%be%e0%a4%a4%e0%a5%8d%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%b0%e0%a5%8b%e0%a4%aa%e0%a4%bf%e0%a4%a4-%e0%a4%b5-56/
०७७ पुस १ गते,बलात्कार घटनाका आरोपित गिरफ्तार,२७ वर्षीया महिलालाई ०७६ चैत २४ गते बलात्कार गरी फरार रहेका आरोपित सिरहा नपा-१२ का २८ वर्षीय सरोज भनिने चन्दन मण्डल खत्वेलाई प्रहरीले मङ्सिर ३० गते गिरफ्तार गरेको छ । पीडित महिलाले जिल्ला प्रहरी कार्यालय सिरहामा गत असार ११ गते उजुरी दिएकी थिइन् । पीडित महिलाको स्वास्थ्य परीक्षण जिल्ला अस्पताल सिरहामा असार ११ गते गरिएको थियो । जिल्ला प्रहरी कार्यालय सिरहाका डिएसपी शालिग्राम शर्मा पौडेलका अनुसार आरोपितलाई घरैबाट गिरफ्तार गरिएको हो । ,http://inseconline.org/np/news/%e0%a4%ac%e0%a4%b2%e0%a4%be%e0%a4%a4%e0%a5%8d%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%b0%e0%a5%8b%e0%a4%aa%e0%a4%bf%e0%a4%a4-%e0%a4%97-1431/
०७७ मङ्सिर १३ गते,बलात्कार घटनाका आरोपित गिरफ्तार,२२ वर्षीया महिलालाई बलात्कार गरेको आरोपमा प्रहरीले बागचौर नगरपालिका-३ का ५४ वर्षीय कालो वलीलाई मङ्सिर ११ गते गिरफ्तार गरेको छ । पीडित महिलालाई दार्मा गाउँपालिका-३ मा भाँडा पसल गर्दै आएका आरोपितले आर्थिक प्रलोभनमा पारी गत असार २७ गते बलात्कार गरेको भन्दै पीडित पक्षले जिल्ला प्रहरी कार्यालयमा मङ्सिर १२ गते उजुरी दर्ता गरेको इन्स्पेक्टर लक्ष्मण वलीले जानकारी दिनुभयो । पीडित महिलाले इन्सेक जिल्ला प्रतिनिधि मिना बुढाथोकीसँग कुरा गर्दै आफूलाई पटकपटक बलात्कार गर्दै आरोपितले घटना बारे कसैलाई भनेमा मार्ने धम्की दिएकाले उजुरी गर्न ढिलाई भएको बताइन् । पीडितको स्वास्थ्य परीक्षण मङ्सिर ११ गते स्वास्थ्य सेवा कार्यालय सल्यानमा गरिएको कार्यालय प्रमुख दशरथ श्रेष्ठले जानकारी दिनुभयो । ,http://inseconline.org/np/news/%e0%a4%ac%e0%a4%b2%e0%a4%be%e0%a4%a4%e0%a5%8d%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%b0%e0%a5%8b%e0%a4%aa%e0%a4%bf%e0%a4%a4-%e0%a4%97-1411/
०७७ मङ्सिर ८ गते,बलात्कार घटनाका आरोपित गिरफ्तार,"१४ वर्षीया बालिकालाई बलात्कार गरेको आरोपमा प्रहरीले  १७ वर्षीय बालकलाई मङ्सिर ७ गते गिरफ्तार गरेको छ । पीडीतलाई आरोपितले ०७७ साउन ६ गते बलात्कार गरेको भन्दै पीडित पक्षले साउन ७ गते  वडा प्रहरी कार्यालय, चन्द्रौटामा उजुरी दिनु भएको थियो । आरोपित घटना पश्चात फरार रहेका थिए । आरोपितलाई शिवराज नपाको  कोटवाबाट गिरफ्तार गरी कानुनी प्रक्रिया अगाडि बढाइएको वडा प्रहरी कार्यालय, चन्द्रौटाका इस्पेक्टर दिपेश खरेलले इन्सेक प्रतिनिधिसँगको फोन सम्पर्कमा बताउनु भयो । पीडितको स्वास्थ्य परीक्षण साउन ७ गते शिवराज अस्पताल, बहादुरगञ्जमा गरिएको थियो । ",http://inseconline.org/np/news/%e0%a4%ac%e0%a4%b2%e0%a4%be%e0%a4%a4%e0%a5%8d%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%b0%e0%a5%8b%e0%a4%aa%e0%a4%bf%e0%a4%a4-%e0%a4%97-1403/
०७७ मङ्सिर ३ गते,बलात्कारका घटनाका आरोपित गिरफ्तार,२३ वर्षीया युवतीलाई बलात्कार गरेको आरोपमा प्रहरीले जहदा गाउँपालिका-५ का २४ वर्षीय विशाल सोनार ठाकुरलाई मङ्सिर २ गते गिरफ्तार गरेको छ । पीडित युवतीलाई आरोपितले साउन १ गते बलात्कार गरेको आरोपमा पीडित पक्षले आरोपितविरूद्ध साउन २ गते इलाका प्रहरी रङ्गेलीमा उजुरी दिएको थियो । पीडित पक्षको उजुरीपछि फरार भएका आरोपितलाई रङ्गेली नगरपालिका-७ मधुबनीबाट गिरफ्तार गरेको जिल्ला प्रहरी कार्यालयका डिएसपी मानबहादुर राईले इन्सेक प्रतिनिधिसँगको फोन सम्पर्कमा बताउनु भयो । पीडित युवतीको स्वास्थ्य परीक्षण कोशी अस्पतालमा साउन २ गते गरिएको थियो । ,http://inseconline.org/np/news/%e0%a4%ac%e0%a4%b2%e0%a4%be%e0%a4%a4%e0%a5%8d%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a4%95%e0%a4%be-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%b0%e0%a5%8b%e0%a4%aa%e0%a4%bf-4/
०७७ कात्तिक २६ गते,बलात्कार घटनाका आरोपितविरुद्ध प्रहरीमा उजुरी,१७ वर्षीया बालिकालाई बलात्कार गरेको आरोपमा कर्जन्हा नपा-१ का २८ वर्षीय आशिष मिरदाहाविरुद्ध पीडित पक्षले इलाका प्रहरी कार्यालय मिर्चैयामा कात्तिक २४ गते उजुरी दिएको छ । पीडित बालिकालाई आरोपितले जेठ महिनामा पटकपटक बलात्कार गरेको र बालिकाले कसैलाई नभनेको कारण समयमा घटनाबारे जानकारी नभएको पीडित बालिकाकी आमाले इन्सेक प्रतिनिधिलाई बताउनु भयो । पीडित बालिका पाँच महिनाको गर्भवती भएपछि मात्र जानकारी भएकोले उजुरी दिएको पीडित बालिकाकी आमाले बताउनु भयो । आरोपित मिरदाहाले यस अघि नै साउन ११ गते १५ वर्षीया एक बालिकालाई बलात्कार गरेको आरोपमा साउन १७ गते गिरफ्तार भई पुर्पक्षका लागि थुनामा रहेकाले अदालतसँग समन्वय गरी अनुसन्धान अगाडि बढाउने इलाका प्रहरी कार्यालय मिर्चैयाका डिएसपी सन्तुलालप्रसाद जैसवारले बताउनु भयो । पीडित बालिकाको स्वास्थ्य परीक्षण जिल्ला अस्पतालमा कात्तिक २४ गते गरिएको थियो । ,http://inseconline.org/np/news/%e0%a4%ac%e0%a4%b2%e0%a4%be%e0%a4%a4%e0%a5%8d%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%b0%e0%a5%8b%e0%a4%aa%e0%a4%bf%e0%a4%a4%e0%a4%b5-221/
०७७ कात्तिक ३ गते,बलात्कार घटनाका आरोपित गिरफ्तार,"नौ, ११ र १२ वर्षीया बालिकाहरूलाई बलात्कार गरेको आरोपमा प्रहरीले भानु नगरपालिका-१० दुधेकुनाका ७२ वर्षीय बलराम सापकोटा र उनका १६ वर्षीय नातीलाई कात्तिक २ गते गिरफ्तार गरेको छ । पीडितहरूलाई आरोपितहरूले असार १५ गते र साउन ४ गते उनीहरूकै घरमा गएर पटकपटक बलात्कार गरेको  आरोपमा पीडित पक्षले आरोपितहरूविरुद्ध कत्तिक २ गते जिल्ला प्रहरी कार्यालयमा उजुरी दिएका थिए । पीडितहरूलाई आरोपितले डरधम्की देखाएको कारण घटना बाहिर आउन समय लागेको पीडित पक्षको उजुरीमा उल्लेख गरिएको जिल्ला प्रहरी कार्यालयका डिएसपी युवराज तिमिल्सेनाले इन्सेक प्रतिनिधिले बताउनु भयो । उहाँले घटनाको उजुरी प्राप्त हुनासाथ पुर्कोट प्रहरी चौकीबाट गएको प्रहरीले आरोपितहरूलाई सोही दिन गिरफ्तार गरेको र आरोपितहरूलाई जिल्ला अदालतबाट म्याद थप गरी थप अनुसन्धानकोलागि हिरासतमा राखिएको जानकारी दिनुभयो । पीडितहरूको स्वास्थ्य परीक्षण कात्तिक २ गते दमौली अस्पतालमा गरिएको थियो । &nbsp; ",http://inseconline.org/np/news/%e0%a4%ac%e0%a4%b2%e0%a4%be%e0%a4%a4%e0%a5%8d%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%b0%e0%a5%8b%e0%a4%aa%e0%a4%bf%e0%a4%a4-%e0%a4%97-1361/
०७७ भदौ १२ गते,बलात्कार घटनाका आरोपित गिरफ्तार,२४ वर्षीया युवतीलाई बलात्कार गरेको आरोपमा जिल्ला प्रहरी कार्यालय म्याग्दीको प्रहरीले धौलागिरी गाउँपालिका-४ मुदीका ३४ वर्षीय केशब घर्तीलाई भदौ ११ गते गिरफ्तार गरेको छ । पीडितलाई आरोपितले ०७७ जेठ १६ गते बलात्कार गरेको भन्दै पीडितकी आमाले ०७७ भदौ ९ गते जिल्ला प्रहरी कार्यालय म्याग्दीमा उजुरी दिएकी थिइन । पीडितले घटनाको बारेमा कसैलाई नबताएको र पछि स्वास्थ्य समस्या देखा परेपछि पीडितले स्वास्थ्य परीक्षण गराउँदा उनको गर्भ रहेको पत्ता लागेपछि घटना बाहिर आएको पीडितकी आमाले बताउनुभएको जिल्ला प्रहरी कार्यालय म्याग्दीका इन्स्पेक्टर ध्रुव प्रसाद शर्माले इन्सेक प्रतिनिधिलाई बताउनुभयो । जिल्ला सरकारी वकिल कार्यालय म्याग्दीका न्यायधिवक्ता प्रकाश कोइरालाका अनुसार आरोपितविरुद्ध भदौ १२ गते जिल्ला अदालत म्याग्दीबाट ७ दिनको म्याद थप गराइ अनुसन्धान अगाडी बढाइएको छ । पीडितको स्वास्थ्य परीक्षण  भदौ ११ गते बेनी अस्पताल गरिएको अस्पतालका सूचना अधिकारी प्रकाश सुवेदीले बताउनुभयो । ,http://inseconline.org/np/news/%e0%a4%ac%e0%a4%b2%e0%a4%be%e0%a4%a4%e0%a5%8d%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%b0%e0%a5%8b%e0%a4%aa%e0%a4%bf%e0%a4%a4-%e0%a4%97-1266/
०७७ भदौ १० गते,बलात्कार घटनाका आरोपित गिरफ्तार,सुस्त मनस्थिति भएकी १९ वर्षीया युवतीलाई बलात्कार गरी गर्भवती बनाएको आरोपमा जिल्ला प्रहरी कार्यालय बागलुङले १४ वर्षीय बालकलाई भदौ १० गते गिरफ्तार गरेको छ । पीडितलाई आरोपितले पटक पटक बलात्कार गरी गर्भवती बनाएको भन्दै पीडित पक्षले आरोपितविरुद्ध  भदौ १० गते जिल्ला प्रहरी कार्यालय बागलुङमा उजुरी दिएको जिल्ला प्रहरी कार्यालय बागलुङका सूचना अधिकारी राजेन्द्र रेग्मीले इन्सेक जिल्ला प्रतिनिधिलाई फोन मार्फत जानकारी दिनुभयो । आरोपितलाई नियन्त्रणमा लिएर अनुसन्धान अगाडी बढाएको रेग्मीले बताउनुभयो । पीडितको स्वास्थ्य परीक्षण भदौ १० गते धौलागिरी अस्पताल बागलुङमा गरिएकोे छ । पीडित चार महिनाको गर्भवती रहेकी छिन् । ,http://inseconline.org/np/news/%e0%a4%ac%e0%a4%b2%e0%a4%be%e0%a4%a4%e0%a5%8d%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%98%e0%a4%9f%e0%a4%a8%e0%a4%be%e0%a4%95%e0%a4%be-%e0%a4%86%e0%a4%b0%e0%a5%8b%e0%a4%aa%e0%a4%bf%e0%a4%a4-%e0%a4%97-1242/
