DATE,TITLE,MAIN_NEWS,SOURCE_URL
"&#2410; श्रावण &#2408;&#2406;&#2413;&#2413;, आइतबार &nbsp;","ड्युटीमा खटिएका प्रहरीमाथि हातपात, एकजना घाइते",काठमाडौं- काठमाडौंमा ड्युटीमा रहेका प्रहरीमाथि हातपात भएको छ । काठमाडौं महानगरपालिका ३१ स्थित ठुलो खरिबोटस्थित ड्युटीमा खटिएका प्रहरीमाथी हातपात भएको हो । हातपातका क्रममा एक प्रहरी घाइते भएका छन् । उनको नयाँ बानेश्वरस्थित सिभिल अस्पतालमा उपचार भइरहेको प्रहरीले जनाएको छ । हातपात गर्ने कार्यमा संग्लन १९ वर्षीय कुमार रोक्कालगायत २ जनालाई गएराति प्रहरीले पक्राउ गरेको छ । उक्त स्थानमा मादक पदार्थ सेवन गरी हो–हल्ला गर्दै हिँड्दा देउराली बीटबाट खटिएको प्रहरीले सम्झाई बुझाई गर्दा उनीहरुले प्रहरी टोली माथिनै गाली गलौज गरी हातपात गरेको प्रहरीले जनाएको छ ।,https://www.khabarhub.com/2020/19/184425/
"&#2407; श्रावण &#2408;&#2406;&#2413;&#2413;, बिहीबार &nbsp;",कर्मचारी निकालिएको भन्दै नेपाल मेडिकल कलेजमा तालाबन्दी,"<strong>काठमाडौं –</strong> नेपाल मेडिकल कलेज शिक्षण अस्पतालले करार सेवामा कार्यरत कर्मचारीलाई रोजगारीबाट निकालेको विरोधमा स्वतन्त्र कर्मचारी युनियनले अस्पतालको प्रशासन शाखामा ताला लगाइदिएको छ । युनियनले आज एक वक्तव्य जारी गर्दै अस्पतालमा कार्यरत करार कर्मचारीलाई निकाल्नु खेदजनक भएको र ताला लागाउन बाध्य भएको जनाएको छ । युनियनका सचिव उमेश कार्कीले अस्पताल व्यवस्थापन र युनियनबीच भएको लिखित सम्झौताअनुसार कुनै पनि माग अस्पताल प्रशासनले कार्यान्वयन नगरेकाले ताला लगाइएको बताए । “अस्पतालमा कार्यरत करार सेवाका कर्मचारीलाई गत असार ३१ गतेदेखि रोजगारीबाट निकालिएको आधिकारिक जानकारीपछि आन्दोलन गर्न बाध्य भएका हौँ । महामारीका समयमा रोजगारी खोसिनु राम्रो होइन । छिटोभन्दा छिटो उनीहरुको पुनःबहाली गर्नुपर्ने हाम्रो माग छ,” उनले भने ।",https://www.khabarhub.com/2020/16/183662/
"&#2408;&#2409; असार &#2408;&#2406;&#2413;&#2413;, मंगलबार &nbsp;",बन्दाबन्दीमा निजी विद्यालयले शुल्क मागेको भन्दै विरोध,"<strong>काठमाडौं-</strong> बन्दाबन्दीको बेलामा पनि निजी विद्यालयले अभिभावकलाई शुल्क तिर्न दबाब दिएको भन्दै अधिकारकर्मी र अभियन्ताहरुले यसको विरोध गरेका छन् । लकडाउनका कारण सबै क्षेत्र प्रभावित बनेको र त्यसबाट अभिभावक पनि अछूतो नरहेको उनीहरुको भनाइ छ । मानवअधिकारकर्मी इन्द्रप्रसाद अर्यालले बन्दाबन्दीको समयमा पनि अभिभावकसँग निजी विद्यालयले शुल्क असुल्न खोज्नु जायज नहुने उल्लेख गर्दै त्यसका विरुद्ध सम्बन्धित सबै पक्ष एकजुट हुनुपर्ने बताए । उनले भने, “कोभिड–१९ को कारणले हरेक क्षेत्रलाई समस्या परेको छ, तर निजी विद्यालयले शुल्क तिर्न अभिभावकलाई दिएको दबाब हेर्दा सामान्य जीवन चलाउने अभिभावकलाई असर नै परेको छैन भन्ने बुझाइ देखियो, त्यही भएर शुल्क मागियो, यो गलत छ, राज्यले समेत अभिभावक समस्यामा छन् भन्ने बिर्सियो ।” वरिष्ठ अधिवक्ता डा दिनेश त्रिपाठीले बन्दाबन्दीका कारण ज्यालादारीलगायत सबै क्षेत्रका मान्छेहरु बेरोजगार भएको अवस्थामा निजी विद्यालयले शुल्क उठाउनु उचित नहुने बताए । उनले भने, “माध्यमिक तह सम्मको शिक्षा निःशुल्क गरिने कुरा संविधानमै लेखिएको छ, संविधान कार्यान्वयन हुनुपर्छ, तर शिक्षाको नाममा हाम्रो देशमा ठूलो व्यापार भएको छ । राज्यले खर्बौंको लगानी शिक्षामा गरेको छ । तर यो लगानी खेर गएको छ ।” शिक्षा अभियानका संयोजक ज्ञानेन्द्र शाहीले लकडाउनको बेलामा मारमा परेका अभिभावकको ढाड सेक्ने गरी शुल्क तिर्न दबाब दिइनु अन्यायपूर्ण कदम भएको बताए ।",https://www.khabarhub.com/2020/07/181277/
"&#2408;&#2408; असार &#2408;&#2406;&#2413;&#2413;, सोमबार &nbsp;",विप्लव समूहका पूर्वभोजपुर सेक्रेटरी पक्राउ,भोजपुर- नेत्र विक्रम चन्द ‘विप्लव’ समूहका पूर्वभोजपुर जिल्ला सेक्रेटरी पक्राउ परेका छन् । जिल्ला प्रहरी कार्यालय भोजपुरले टेम्केमैयुङ गाउँपालिका –८ गोगनेको खनियाखर्कबाट मादेन भनिने मोहन राईलाई पक्राउ गरेको हो । संगठित तथा विष्फोटक पदार्थ सम्बन्धी कसुर मुद्दामा सग्लन भई फरार रहेका राईलाई आइतबार प्रक्राउ गरेर आज सार्वजनिक गरेको हो । राईलाई विषेश सूचनाको आधारमा पक्राउ गरेको प्रहरीले जनाएको छ । त्यस्तै प्रहरीले भोजपुरको हतुवागढी गाउँपालिका –९ हम्बफाबाट १३ किलो ४०० ग्राम गाँजा बरामद गरेको छ । गोप्य सूचनाको आधारमा स्थानीय जस बहादुर राईको घर खानखलासी गर्दा गाँजा फेला परेको प्रहरीको भनाइ छ । घरधनी राई फरार रहेकोले खोजी भइरहेको जिल्ला प्रहरी कार्यालय भोजपुरका सूचना अधिकारी प्रदीप लामाले जानकारी दिए ।,https://www.khabarhub.com/2020/06/180830/
"&#2408;&#2406; असार &#2408;&#2406;&#2413;&#2413;, शनिबार &nbsp;",गोरखामा कोरोनाले मृत्यु भएका पुरुषको शव व्यवस्थापनमा अवरोध,गोरखा- गाेरखामा कोरोना सङ्क्रमणपछि मुत्यु भएका पुरुषको शव व्यवस्थापनमा स्थानीय बासिन्दाले अवरोध गरेका छन् । पालुङटार नगरपालिका ७ का एक पुरुषको आज बिहान गोरखा अस्पतालमा मृत्यु भएको थियो । उनको शव गोरखा नगरपालिका वडा नम्बर १२ र शहीद लखन गाउँपालिका १ काे सीमा लुदी खोलाको दोभानमा व्यवस्थापन गर्ने जिल्ला सुरक्षा समितिले निर्णय गरेको थियो । तर दुवै नगरपालिका स्थानीयले दिनभर शव व्यवस्थापनमा अवरोध गरेका छन् । प्रहरीले तीन घण्टाकाे अवरोध हटाएपछि शव व्यवस्थापन टोलीले खाल्डो खनेको भए पनि स्थानीयको विरोधको व्यवस्थापनमा समस्या उब्जिएको हो । प्रहरीले बल प्रयोग गरेर स्थानीयलाई हटाउने र शव व्यवस्थापन गर्ने तयारी गरेको छ । कोरोनाले मृत्यु भएका व्यक्तिको शव व्यवस्थापनमा अवरोध हुँदा प्रहरीले लाठीचार्ज समेत गरेको छ । नेपाली सेनाको विशेष टोलीले शव व्यवस्थापनमा जुटेको छ । शव व्यवस्थापनमा अवरोध गर्नेलाई लक्षित गरेर प्रहरीले सुरुमा चार सेल अश्रुग्यास प्रहार गरेको जनाइएको छ । असार १७ गते कतारबाट नेपाल आएका उनको उपचारको क्रममा शनिबार बिहान ५ बजे गोरखा अस्पतालमा मृत्यु भएको थियो। सरकारले संक्रमितको मृत्यु भएपछि जतिसक्दो चाँडो मापदण्ड पूरा गरेर शव व्यवस्थापन गर्नुपर्ने निर्देशिकामा उल्लेख छ। &nbsp;,https://www.khabarhub.com/2020/04/180314/
"&#2407;&#2415; असार &#2408;&#2406;&#2413;&#2413;, शुक्रबार &nbsp;",दुर्व्यवहार आरोपमा वडाध्यक्ष पक्राउ,"कञ्चनपुर- कञ्चनपुरको भीमदत्त नगरपालिका ९ का वडा अध्यक्ष राम नाथ महिलामाथि दुर्व्यवहार गरेको आरोपमा पक्राउ परेका छन् । गए राति वडाध्यक्ष नाथले ब्रह्मदेव बजारमा मदिरा सेवन गरी महिलामाथि दुर्व्यवहार गरेको स्थानीयले आरोप लगाएपछि ब्रह्मदेव प्रहरी चौकीले नाथलाई नियन्त्रणमा लिएको हो । प्रहरीले नियन्त्रणमा लिएका नाथलाई रातिनै जिल्ला प्रहरी कार्यालय कञ्चनपुर पठाएको छ । जिल्ला प्रहरी कार्यालय कञ्चनपुरका प्रहरी नायब उपरीक्षक अमर थापाले वडाध्यक्ष नाथले महिलामाथि दुर्व्यवहार गरेको भन्ने कुरा आएपछि नियन्त्रणमा लिइएको बताए । &#8216;थप कुरा बुझ्न बाँकी रहेको छ”, उनले भने, “के भएको रहेछ । आज बुझ्ने कार्य हुन्छ । त्यहीअनुसार कारवाही प्रक्रिया अगाडि बढ्छ ।” भीमदत्त नगरपालिका–९ ब्रह्मदेव बजारमा एक महिलालाई अपशब्द प्रयोग गर्दै वडाध्यक्ष नाथले दुर्व्यवहार गरेको स्थानीयको आरोप छ । घटनापछि बिहीबार राति ब्रह्मदेव क्षेत्र तनावग्रस्त भएको थियो । वडाध्यक्षले महिलालाई दुर्व्यवहार गरेको भन्दै आक्रोषित स्थानीयले सीमा प्रहरीचौकी ब्रह्मदेव घेराउ गर्दै कारवाही मागसहित नाराबाजी गरेका थिए । महिलामाथि कुनै किसिमको दुर्व्यवहार नगरेको वडाध्यक्ष नाथको प्रारम्भिक बयानलाई उद्धृत गर्दै प्रहरीले बताएको छ ।",https://www.khabarhub.com/2020/03/179919/
"&#2407;&#2414; असार &#2408;&#2406;&#2413;&#2413;, बिहीबार &nbsp;",गैँडाकोट नगरपालिकामा तालाबन्दी,"नवलपुर &#8211; नेपाली काँग्रेस निकटका जनप्रतिनिधिले गैँडाकोट नगरपालिकामा तालाबन्दी गरेसँगै सेवाग्राही मर्कामा परेका छन् । नगर प्रमुख छत्रराज पौडेलले आगामी आर्थिक वर्ष २०७७/७८ का लागि नीति तथा बजेट असार १६ गते पारित गरेपछि केही नगरसभा सदस्य असन्तुष्ट हुँदै नगरपालिकामा ताला लगाएका थिए । जनताको कामकाज ठप्प पार्नुले उनीहरुमाथि आफूहरुको भरोसा उडेको गैँडाकोट– ५ का मेघराज खरालले बताए । &#8216;हाम्रो कामकाजमा सहजता पुर्‍याउने भन्दै चुनावका बेला भोट माग्न आएका थिए&#8217;, खरालले भने, &#8216;अहिले असार मसान्तको समयमा आएर तालाबन्दी गर्दा हाम्रो भुक्तानी रोकिएका छन् ।&#8217; नगरमा सञ्चालित विभिन्न योजना सम्पन्न भएपछि रकम भुक्तानी लिन आउँदा तालाबन्दीले दुःख पाएको खरालले गुनासो गरे । असार १६ गते देखि नगरप्रमुख छत्रराज पौडेल, उपप्रमुख विष्णुकुमारी कँडेल र प्रमुख प्रशासकीय अधिकृत रामप्रसाद आचार्यको कार्यकक्षमा उनीहरुले तालाबन्दी गरेका थिए ।",https://www.khabarhub.com/2020/02/179729/
"&#2407;&#2408; असार &#2408;&#2406;&#2413;&#2413;, शुक्रबार &nbsp;",शिव सेना नेपालद्वारा झापामा राँके जुलुस,"<strong>झापा- </strong>राजसंस्थाको पुनः स्थापनाको मागसहित शिव सेना नेपालले झापाको चारलीमा राँके जुलुस प्रदर्शन गरेको छ । शिवसेना नेपालका झापा जिल्ला अध्यक्ष बद्री महतको नेतृत्वमा युवाहरुले राँके जुलुस प्रदर्शन गरेका हुन् । शिवसेनाले आयोजना गरेको राँके जुलुस प्रदर्शनमाबुद्धिजिवी,उद्योगी व्यवसायी लगायत स्थायीय युवाहरुको उल्लेख्य सहभागिता रहेको थियो । उनीहरुले नेपालको मिचिएको भूमि फिर्ता ल्याउनुपर्ने मागसहित राष्ट्रवादी नारा लगाउँदै जुलुस निकालेका थिए ।",https://www.khabarhub.com/2020/26/178161/
"&#2408; असार &#2408;&#2406;&#2413;&#2413;, मंगलबार &nbsp;",झापामा मिर्गौला रोगी बृद्धको शव उठाउन गाउँलेको अवरोध,"झापा &#8211; झापाको मेचीनगर नगरपालिका–११ का एक बृद्धको मृत्यु कोरोना संक्रमणले भएको आशंकामा शव व्यवस्थापनमा गाउँलेले ६ घण्टासम्म अवरोध गरेका छन् । मिर्गौला खराब भएर मृत्यु भएका वृद्धलाई कोरोना संक्रमण भएको आशंका गर्दै गाउँलेले सोमबार छ घण्टासमम्म दाहसंस्कार गर्न रोकेका हुन् । बृद्धको मृत्यु कोरोनाले भएको आशंकापछि गाउँलेले शव दाहसंस्कार गर्न घाट लैजानबाट रोकेका थिए । घटनाबारे तत्काल जानकारी पाउनेबित्तिकै मेचीनगर नगरपालिका प्रमुख विमल आचार्यले नगरको स्वास्थ्य शाखालाई शवको अवस्थाबारे बुझ्न र व्यवस्थापन गर्न निर्देशन दिएका थिए । नगरको स्वास्थ्यकर्मीको टोली मृतकको घर पुगेर अस्पताल रिपोर्ट जाँच गर्दा दुवै मिर्गौला खराब भएर मृत्यु भएको पुष्टि गरेपछि मात्र गाउँलेले घरबाट उनको शव उठाउन दिएका थिए । मृतक एक हप्ताअघि मात्र उपचारका लागि विराटनगरस्थित नोबेल अस्पताल भर्ना भएका थिए । उनलाई अस्पतालले शुक्रबार घर फर्काएको थियो । उनको सोमबार बिहान ८ बजे घरमै मृत्यु भएको हो । &#8216;नोबेल अस्पतालको रिपोर्ट हेर्दा कोरोना भएको देखिँदैन&#8217;, नगर स्वास्थ्य शाखा प्रमुख शशिकला राईले भनिन्, &#8216;दुवै मिर्गौला खराब भएको रहेछ । गाउँलेलाई सबै कुरा बताएपछि मात्र अन्त्येष्टि गर्न दिए ।&#8217; पालिकाले चार जना गाउँलेलाई पीपीई, पञ्जा र मास्क दिएपछि शव उठाएर दाहसंस्कार गरिएको थियो । मृतक भारतीय सेनाबाट निवृत्त भएका हुन् । उनी बन्दाबन्दीअघि पेन्सन थाप्न भारतको बागडुग्रास्थित हात्तीसारको पेन्सन अफिसमा गएका थिए । बन्दाबन्दी भएसँगै भारतमै छोरीज्वाइँको घरमा बसेका उनलाई बिरामी भएपछि एक हप्ताअघि मात्र पूर्वीनाका काँकडभिट्टा हुँदै एम्बुलेन्सबाट बिर्तामोडस्थित मनमोहन अस्पताल ल्याइएको थियो । मनमोहनले उपचार गर्न नसक्ने बताएपछि उनलाई उपचारका लागि नोबेल अस्पताल लगिएको थियो ।",https://www.khabarhub.com/2020/16/175273/
"&#2408;&#2412; जेठ &#2408;&#2406;&#2413;&#2413;, सोमबार &nbsp;",काठ चिर्ने हतियारले श्रीमानको हत्या,सल्यान &#8211; सल्यानमा एक महिलाले श्रीमानको हत्या गरेकी छन् । जिल्लाको त्रिवेणी गाउँपालिका–६ भुम्केज्युलाकी ३६ वर्षीया ती महिलाले ३८ वर्षीय श्रीमान् डिल्लीबहादुर घर्तीको हत्या गरेको जिल्ला प्रहरी कार्यालय सल्यानले जनाएको छ । आइतबार राति साढे ८ बजेतिर आफ्नै घरमा काठ चिर्ने फलाम हतियारको प्रहारबाट गम्भीर घाइते भएका घर्तीको सल्यान अस्पतालमा उपचारका क्रममा मृत्यु भएको जिल्ला प्रहरी कार्यालय सल्यानका प्रहरी नायब उपरीक्षक ढकेन्द्र खतिवडाले जानकारी दिए । हत्या आरोपमा श्रीमतीलाई इलाका प्रहरी कार्यालय लुहाममा राखिएको खतिवडाको भनाइ छ । घटना बारेमा थप अनुसन्धान भइरहेको छ ।,https://www.khabarhub.com/2020/08/173312/
