DATE,TITLE,MAIN_NEWS,SOURCE_URL
29/08/2020,भारतबाट आएका पतिलाई क्वारेन्टिन बस्न आग्रह गर्दा मट्टीतेल छर्केर आगजनी,"भारतको पन्जाबबाट फर्केका श्रीमानलाई क्वारेन्टिनमा बस्न आग्रह गर्दा सप्तरीसुरुंगा नगरपालिका– ३ लक्ष्मीपुरका दीपेन सदाले श्रीमतीलाई मट्टीतेल छर्केर आगो लगाएका थिए । गाउँ–समाजमा आफ्नो बेइज्जत गरेको भन्दै उनले ५ साउनमा श्रीमतीलाई आगो लगाएका थिए । आगजनीबाट गम्भीर घाइते भएकी वसन्ती सदाको स्वास्थ्य अवस्था झनै बिग्रिएपछि थप उपचारकालागि काठमाडौं लगिएको छ । उनलाई शनिबार दिउँसो लहानस्थित रामकुमार उमाप्रसाद स्मारक अस्पतालबाट काठमाडौंस्थित कीर्तिपुर अस्पताल लगिएको हो । सुरुंगा नगरपालिकाले एम्बुलेन्स उपलब्ध गराएपछि घाइतेका बाबु मनभरन सदा र आमा सोनावतीले काठमाडौं लगेका हुन् । क्वारेन्टिन बस्नभन्दा लगाइयो आगो गत ४ साउनमा २९ वर्षीय दीपेन सदा भारतको पन्जाबबाट नेपाल आएका थिए । उनीमाथि कोरोनाको आशंका गर्दै श्रीमतीले क्वारेन्टिन जान सुझाब दिएकी थिइन्। आफूमाथि कोरोनाको आशंका गरेको भन्दै दीपेनले ५ साउन बिहान ११ बजेतिर मट्टीतेल छर्किएर आगो लगाइदिएको पीडितकी आमा सोनावतीले बताइन् । आगजनीबाट घाँटीमुनि र कम्मरमाथिको भाग जलेकी वसन्तीलाई तत्काल लहान ल्याएर सामान्य उपचार गरिएको थियो । भोलिपल्ट विराटनगर लगिए पनि नोबेल अस्पतालले भर्ना नलिएपछि पुनः फर्काएर घरमै ल्याएको आमा सोनावतीले बताइन् । घाइतेको अवस्था झनै गम्भीर भएपछि तीन दिन घरमै राखेर ८ साउनमा राजविराजस्थित गजेन्द्रनारायण सिंह सगरमाथा अञ्चल अस्पतालमा भर्ना गरेको आमा सोनावतीको भनाइ छ । ‘अस्पतालमा कोरोना संक्रमणको उच्च जोखिम भयो भन्दै घर जान भनेपछि पुनः २५ साउनमा घर ल्याएर राख्यौँ,’ उनले भनिन्, ‘छोरीको अवस्था नाजुक भएपछि १० भदौमा लहान ल्याएर उपचार गर्दै थियौँ।’ लहान अस्पतालका मेडिकल सुपरिटेन्डेन्ट डा. सुनील कुशवाहाले घाइतेलाई अस्पतालको आन्तरिक स्रोतबाट १० भदौदेखि सम्भव भएसम्मको उपचार गरेको बताए । उनले भने, ‘उनको शरीरको ५५ देखि ६० प्रतिशत भाग जलेको छ । सुविधासम्पन्न ठाउँमा उपचार भए उनले पुनर्जीवन पाउने थिइन्।’ उपचारका लागि सहयोग रकम संकलन हुँदै उनको उपचारका लागि स्थानीय सरकार, सिराहाका महिलाअधिकारको क्षेत्रमा कार्यरत सामाजिक संघसंस्था र अमेरिका बसिरहेकी एक महिलाले आर्थिक सहयोग गरेका छन् । लहानस्थित समग्र जनउत्थान केन्द्रका कार्यकारी निर्देशक देवराज पोखरेलका अनुसार सुरुंगा नगरपालिकाले एम्बुलेन्स खर्च छुट दिएको छ भने मुक्ति नेपाल, हर्कोडेक, दलित जनकल्याण युवा क्लब, दलित महिला संघ, ओरेक नेपाल, अमेरिका बसिरहेकी सिराहाकी शर्मिला सिंहबाट तत्काल ६५ हजार रुपैयाँ संकलन भएको छ । ‘घाइतेको लामो समयसम्म उपचार गर्नुपर्ने र थप रकम लाग्ने भएकाले त्यसका लागि पहल गर्दै छौँ,’ कार्यकारी निर्देशक पोखरेलले भने । पति पुर्पक्षका लागि कारागार चलान सात वर्षीया छोरीकी आमासमेत रहेकी पत्नीलाई मट्टीतेल छर्केर आगो लगाई हत्या गर्न खोजेको आरोपमा पक्राउ परेका दीपेनलाई अदालतको आदेशमा कारागार चलान गरिएको छ । घटनालगत्तै पक्राउ परेका दीपेनविरुद्ध घाइतेकी बाबुले ज्यान मार्ने उद्योगमा जाहेरी दिएका थिए । प्रहरीले जाहेरीको आधारमा थप अनुसन्धान गरी राजविराजस्थित जिल्ला अदालतमा पेसगरेपछि पुर्पक्षका लागि थुनामा पठाउने आदेश भएको इलाका प्रहरी कार्यालय कडरबोनाका प्रमुख प्रहरी निरीक्षक रामराजा केसरीले बताए । ",https://www.nayapatrikadaily.com/news-details/50197/2020-08-29
24/07/2020,६ वर्षीया बालिका बलात्कारको आरोपमा एक पक्राउ,मकवानपुरको विकट कैलाश गाउँपालिका– ८ मा ६ वर्षीया बालिका बलात्कार आरोपमा एक किशोर पक्राउ परेका छन् । बालिका खेलिरहेको अवस्थामा मकैबारीमा लगेर ४ साउनमा बलात्कार गरेको आरोपमा १६ वर्षीय किशोरलाई प्रहरीले पक्राउ गरेको छ । बालिका बिरामी भएपछि परिवारले सोधपुछ गर्दा बलात्कृत भएको थाहा पाएपछि प्रहरीलाई खबर गरेको वडाध्यक्ष सुर्जबहादुर थिङले जानकारी दिए ।अशक्त अवस्थामा रहेकी बालिकालाई पनि उद्धार गरिएको प्रहरीले जनाएको छ । ,https://www.nayapatrikadaily.com/news-details/47826/2020-07-23
20/07/2020,त्रिवि पदाधिकारीको कार्यकक्षमा ताला,"त्रिभुवन विश्वविद्यालयका उपकुलपति, रेक्टर र रजिस्ट्रारको कार्यकक्षमा ताला लागेको छ । नेविसंघका नाममा आइतबार ताला लगाएको त्रिविका रजिस्ट्रार प्रा.डा. पेसल दाहालले बताए । त्रिविमा नियुक्तिको भागबन्डाको विषयमा विवाद हुँदै आएको छ । नेविसंघको त्रिवि समितिका सभापति हरि आचार्यले नेविसंघले विभिन्न माग राखेपछि उपकुलपतिले कुनै छलफल नगरेको र सुनुवाइ पनि नगरेकाले ताला लगाएको बताए । उपकुलपतिले जुनसुकै नियुक्तिमा वरिष्ठता र कार्यसम्पादनलाई हेर्ने बताए पनि हरेक नियुक्तिमा आफ्नो गुटको खोज्ने र विभेद गरेको उनको आरोप छ । प्रजातन्त्रवादी प्राध्यापक संघ, नेपालले समेत आइतबार विरोध प्रदर्शन गरेको छ । त्रिविका उपकुलपतिलाई बुझाएको ३३बुँदे मागको बेवास्ता भएको भन्दै त्रिवि उपकुलपति कार्यालयपरिसरमा प्रदर्शन गरिएको हो । परीक्षालगायतका काममा लागेको समयमा ताला र प्रदर्शन गरेर समस्या खडा गर्न लागेको प्राध्यापकहरूको गुनासो छ । ",https://nayapatrikadaily.com/news-details/47578/2020-07-20
19/07/2020,"सीता गुफानजिकको सीमास्तम्भ उखेलियो, स्थानीयद्वारा प्रदर्शन","प्रधानमन्त्री केपी शर्मा ओलीले रामको जन्मस्थल भनेपछि चर्चामा आएको पर्साको ठोरीस्थित सीता गुफानजिकै रहेको सीमास्तभ उखेएिको छ । सीमा स्तम्भ उखेलिएपछि स्थानीय बासिन्दाले विरोध जनाएका छन् । ठोरी गाउँपालिका–२ स्थित सीता गुफानजिकै ३५ नम्बर सीमा स्तभ छ । शनिबार दिउँसो सीमा स्तम्भ उखेलिएको भेटिएपछि स्थानीय बासिन्दा सीमा क्षेत्रमा पुगेर प्रदर्शनमा उत्रिएका हुन् । ‘दिउँसो १२ बजेसम्म सीमा स्तम्भ ठीकै अवस्थामा थियो, तर दिउँसो ४ बजेपछि उखेलेर फालिएको अवस्थामा भेटियो,’ ठोरी गाउँपालिका अध्यक्ष पदमलाल श्रेष्ठले भने । शनिबार बिहान ९ बजेदेखि कलशयात्रा, भजनकीर्तनसहित सीता गुफामा राम जन्मभूमि पूजा गरिएको थियो । यो ठाउँमा विभिन्न समयमा पूजाआर्चना हुँदै आएको छ । बिहान ठीकै अवस्थामा रहेको सीमा स्तम्भ दिउँसो उखेलेर फालिएको भेटिएको गाउँपालिका अध्यक्ष श्रेष्ठले बताए । पाँच मिटर पर फालिएको उनको भनाइ छ । सीमा स्तम्भ फालिएको भेटिएपछि नेपाल र भारतका स्थानीय बासिन्दा सीमा क्षेत्र पुगेर विरोधमा उत्रिएका हुन् । दुवैतर्फका सुरक्षाकर्मी पनि सीमा क्षेत्रमा पुगेकाले विवाद बढ्न पाएन । सीमा क्षेत्रमा पुगेर स्थानीय बासिन्दाले होहल्ला गरे पनि सम्झाइबुझाइ फिर्ता ल्याइएको अध्यक्ष श्रेष्ठले बताए । ‘सिमानामा जनता जम्मा भएर मात्र समस्या हल नहुने देखेपछि भोलि छलफल गरौँला भनेर आ–आफ्ना नागरिक फिर्ता ल्यायौँ,’ उनले भने । पर्साका प्रमुख जिल्ला अधिकारी विष्णुकुमार कार्कीले सीमास्तभ उखेलेको नभएर ढलेको हुन सक्ने बताए । ‘डिटेलमा बुझ्दै छौँ, स्तम्भमा मान्छेहरू बसे होलान् र ढलेको हुन सक्छ,’ उनले भने । यस विषयमा आइतबार छलफल हुने उनले बताए । ",https://www.nayapatrikadaily.com/news-details/47516/2020-07-19
17/07/2020,नेपाल टेलिकमका कर्मचारीहरू आन्दोलित,"नेपाल टेलिकमका कर्मचारीहरू आन्दोलित भएका छन् । बाह्य हस्तक्षेप र व्यवस्थापनको ढिलासुस्तीका कारण नेपाल टेलिकम गम्भीर मोडमा पुगेको भन्दै हस्तक्षेप रोक्न मागसहित उनीहरू आन्दोलनमा उत्रिएका हुन् । समयानुसार सेवा विस्तार नभएको, गुणस्तर सुधारमा ध्यान नदिएको र व्यावसायिक क्षमता अभिवृद्धितर्फ समेत ध्यान नदिँदा कम्पनीमा नकारात्मक संकेत देखिन थालेको नेपाल दूरसञ्चार राष्ट्रिय कर्मचारी संगठनका महासचिव तेजबहादुर शाहीले बताए । पछिल्लो समय राजस्व घटेको, कर्मचारीको वृत्तिविकासमा संकुचन आएको र सरकारले मोबाइल सेवाको नवीकरणमा विभेद गरेको उनले बताए । नेपाल टेलिकममा ९२ प्रतिशत सरकार र आठ प्रतिशत कर्मचारी तथा सर्वसाधारणको सेयर छ । माघ ०७६ मा नै फाेरजी सेवाको काम सक्नुपर्ने भए पनि अहिलेसम्म ६० प्रतिशत मात्रै भएको, एफटिटिएच सेवाको दुई लाख १९ हजार लाइन वितरण गर्ने लक्ष्य भए पनि अहिलेसम्म ५० हजार मात्रै वितरण भएको, ठूलो रकम खर्च गरी भित्र्याएको इन्टरनेसनल ब्यान्डविथ तथा लिज लाइन पादरर्शी नबनाई निजी सेवा प्रदायकलाई पोस्ने माध्यम बनाइएको भन्दै ट्रेड युनियनमा आबद्ध कर्मचारी संयुक्त संघर्ष समिति बनाएर आन्दोलित भएका हुन् । नवीकरण दस्तुर वैज्ञानिक बनाउनुपर्ने, संस्थाको आन्तरिक सबलीकरणका लागि कम्पनी पुनर्संरचना गर्नुपर्ने र वृत्ति विकासको अवसर रहने गरी लागूगर्नुपर्ने माग उनीहरूको छ । ",https://nayapatrikadaily.com/news-details/47458/2020-07-17
17/07/2020,बालकमाथि यौन दुर्व्यवहार गरेको आरोपमा किशोर पक्राउ,बालकमाथि यौन दुर्व्यवहार गरेको आरोपमा मोरङमा एक किशोर पक्राउ परेका छन् । मोरङको सुन्दरहरैँचा नगरपालिका– २ का १७ वर्षीय एक किशोरलाई दश वर्षका बालकमाथि यौन दुर्व्यवहार गरेको आरोपमा पक्राउ गरेको प्रहरीले जनाएको छ । पीडित बालकका आफन्तका अनुसार ती किशाेरले बिहीबार दिउँसो उखुबारीमा बालकलाई ज्यान मार्ने धम्की दिएर यौन दुर्व्यवहार गरेका थिए । बालकलाई यौन दुर्व्यवहार गरेको जानकारी पाएलगत्तै आफन्तको सहयोगमा प्रहरीले किशाेरलाई बिहीबार नै पक्राउ गरेको थियो । पीडित बालकका आफन्तले यौन दुर्व्यवहारको आरोपमा किशोरमाथि शुक्रबार किटानी जाहेरी दिन लागेको बताएका छन् । ,https://nayapatrikadaily.com/news-details/47434/2020-07-17
16/07/2020,क्याम्पस प्रमुखको राजीनामा माग्दै जनज्योति क्याम्पसमा तालाबन्दी,"सत्तारुढ दल नेपाल कम्युनिस्ट पार्टीनिकटको विद्यार्थी संगठन अनेरास्ववियुले कञ्चनपुरस्थित महेन्द्रनगरको जनज्योति बहुमुखी क्याम्पसमा तालाबन्दी गरेको छ । क्याम्पस प्रमुख प्रकाशदत्त जोशीको राजीनामाको माग राख्दै अनेरास्ववियुले बिहीबार क्याम्पसमा तालाबन्दी गरेको हो । अनेरास्ववियुकञ्चनपुरका नेता कैलाशचन्द्र गिरीले क्याम्पस प्रमुखले कांग्रेसको काम गरेको आरोप लगाउँदै उनको कार्यकक्षमा तालाबन्दी गरेको बताए । ‘क्याम्पस प्रमुख जोशीले कांग्रेसको जुम प्रशिक्षण कार्यक्रमको सूचनालाई बिएसडब्लू समूहमा प्रचार गरे,’ उनले भने, ‘गत २५ असारमा नैतिकताका आधारमा राजीनामा मागेका थियौँ, दिनुभएन, त्यही भएर आन्दोलित भएका छौँ ।’ यसअघि क्याम्पस प्रमुख जोशीले जुम बैठकको सूचनाको विषयमा २४ असारमा नियतवश नभई प्राविधिक त्रुटिवश गल्तीभएको भन्दै माफीमागेका थिए । गिरीका अनुसार क्याम्पस प्रमुखले राजीनामा नदिँदासम्म तालाबन्दी नखोलिने र क्याम्पसका प्रबन्ध–निर्देशक खेमलाल घिमिरे र सञ्चालक समिति अध्यक्ष मनोरज जोशीलाई समेत क्याम्पस प्रवेशमा रोक लगाउने चेतावनी दिइएको छ । क्याम्पस प्रमुखले क्याम्पसको हितभन्दा पनि पार्टीको काम गरेको अनेरास्ववियुको आरोप छ । जनज्योति क्याम्पस प्रमुख प्रकाशदत्त जोशीले नितान्त प्राविधिक त्रुटिवश सूचना साझा भएको बताए । ‘मैले यो विषयमा विद्यार्थीसहित दुई लाख ५० हजारभन्दा बढीमानिससँग माफीमागिसकेको छु,’ उनले भने, ‘महिना दिनपछि यो विषय उचाल्ने प्रयास भयो ।’ क्याम्पस प्रमुख भएपछि पार्टीको कुनै पनि जिम्मेवारीमा नरहेको दाबीगर्दै जोशीले आफूमाथि राजनीतिक पूर्वाग्रहका हिसाबले दुस्प्रचार गरिएको बताए । ",https://nayapatrikadaily.com/news-details/47369/2020-07-16
12/07/2020,अन्नपूर्णा आश्रमका अध्यक्ष वैद्य जबर्जस्ती करणी उद्योगमा पक्राउ,"काठमाडौंको दरबारमार्गस्थित अन्नपूर्णा पशुपति आश्रमका संस्थापक अध्यक्ष जगदीश वैद्य जबर्जस्ती करणी उद्योगमा पक्राउ परेका छन् । पीडित महिलाको उजुरीका आधारमा प्रहरीले उनलाई २१ असारमा ललितपुरबाट पक्राउ गरेको हो । उनलाई आवश्यक कारबाहीका लागि आइतबार नै काठमाडौँ प्रहरीलाई बुझाइएको छ । वैद्यले एक जटिल रोगबाट प्रभावित महिलालाई पूर्णरूपमा रोग निको पारिदिन्छु भन्दै रकम लिएर आश्रमको कार्यालयभित्रै कपडा खोल्न लगाई जबरजस्ती करणी गरेको आरोप लागेको छ । महानगरीय प्रहरी परिसर काठमाडौंका प्रमुख एसएसपी श्याम ज्ञवालीले पीडित महिलाले जबर्जस्ती करणी उद्योगमा जाहेरी गरेपछि वैद्यलाई पक्राउ गरिएको जानकारी दिए । उनलाई अहिले परिसरकै हिरासत कक्षमा राखिएको छ । ‘आश्रममै कार्यरत एक महिलाको उजुरीपछि वैद्यलाई पक्राउ गरेका हौं । सोहीअनुसार अनुसन्धान भइरहेको छ,’ ज्ञवालीले भने, ‘पीडित भनिएकी महिला र वैद्यसँग बयान लिने क्रम जारी छ ।’ वैद्यविरुद्ध प्रहरीमा ठगी मुद्दा पनि परेको छ । जिल्ला प्रशासन कार्यालय काठमाडौमा ठगीसम्बन्धी जाहेरी परेपछि प्रहरीले उनीविरुद्ध थप अनुसन्धान गर्दै छ । परिसरका प्रवक्ता डिएसपी राजकुमार केसीले भने, ‘वैद्यविरुद्ध जिल्ला प्रशासन कार्यालयमा ठगी गरेको भन्दै जाहेरी परेको रहेछ । अनुसन्धान गर्न भन्दै हामीकहाँ पत्र आयो । सोही पत्रका आधारमा अनुसन्धान गर्दै छौँ ।’ वैद्यले कुनै विश्वविद्यालयबाट औपचारिक रूपमा विद्यावारिधि नगरेको र उनले आफ्नो नामको अगाडि लेख्ने प्रा.डा.को पद र राष्ट्रिय समाजसेवी उपाधि ‘स्वघोषित’ भएको बारे उजुरी परेको प्रहरीले जनाएको छ । ",https://nayapatrikadaily.com/news-details/47082/2020-07-12
09/07/2020,"आयल निगमका कर्मचारी युनियन मुठभेडमा, एक–अर्काविरुद्ध कुटपिट र गालीगलौज गरेको आरोप","आयल निगममा कार्यरत कर्मचारी युनियनका प्रतिनिधिहरू मुठभेडमा उत्रिएका छन् । बुधबार दिउँसो स्टोर शाखामा सामान लिन गएका अर्थ विभागमातहतका वरिष्ठ सहायक पदमा कार्यरत भैरव रावललाई स्टोर शाखा प्रमुख विकास बखतीले कुटेको आरोप लागेको छ । रावल नेकपा समर्थित निगमको कर्मचारी संघका केन्द्रीय सदस्य हुन् भने स्टोर शाखा प्रमुख बखती कांग्रेस समर्थित निगमको कर्मचारी युनियनका अध्यक्ष हुन् । दिउँसो करिब २ बजेतिर घटना भएपछि दिनभर कार्यालयको कामसमेत प्रभावित हुने गरी दुवै संगठनमा आबद्ध कर्मचारी युनियनका प्रतिनिधि भेला भएर आरोप–प्रत्यारोपमा उत्रिएका थिए । घटनापछि नेकपा समर्थित कर्मचारी संघले विज्ञप्तिजारी गर्दै स्टोर शाखा प्रमुख बखतीले रावललाई कुटेको दाबी गरेको छ । संघ महासचिव मधुमास पुनले जारी गरेको विज्ञप्तिमा भनिएको छ, ‘कार्यालयको कामको सिलसिलामा फन्ड शाखाका लागि अत्यावश्यक सामग्रीहरू क्रेडिट भौचर, टोनर तथा कार्टिज, फोटोकपी पेपरलगायतका सामानहरू माग फाराम भरी स्वीकृति गराई लिन जाँदा स्टोर शाखा प्रमुख विकास बखतीले भौचर छैन,भौचर उठाउनुपर्दैन ? कोठाबाट बाहिर गइहाल जस्तो अपशब्द प्रयोग गर्दै गर्दा आसार मसान्त आउँदै छ सर, भौचर त चाहिन्छ । त्यसो भए म विभागीय प्रमुखलाई यहीकुरा जानकारी गराउँछु भनेर रावलले भन्दा बखतीले एक्कासिझम्टँदै गर्धन तथा ढाडमा मुक्का प्रहार गरी घाइते बनाएको कुरामा हाम्रो गम्भीर ध्यानाकर्षण भएको छ ।’ नेकपा समर्थित कर्मचारी संघका प्रतिनिधिले स्टोर शाखा प्रमुख बखतीलाई कारबाही गर्न कार्यकारी निर्देशक सुरेन्द्रकुमार पौडेललाई समेत उजुरी दिएका छन् । त्यतिमा मात्र नरोकिएर उनीहरूले उद्योग वाणिज्य तथा आपूर्तिमन्त्री लेखराज भट्टलाई समेत दोषीमाथिकारबाहीको माग गर्दै ज्ञापनपत्र बुझाएका छन् । नेकपा समर्थित कर्मचारीको ठूलो समूह परिचालन भएपछि कांग्रेस समर्थित कर्मचारी युनियनले पनि विज्ञप्तिनिकालेर खण्डन गरेको छ । युनियन महासचिव सन्दीप बरालले जारी गरेको विज्ञप्तिमा भनिएको छ, ‘युनियनका अध्यक्ष विकास बखतीलाई निगमका कर्मचारी भैरव रावलले स्टोर शाखामा सामान लिन आउँदा केही सामान पछि उपलब्ध हुने र अहिले जति छलैजान अनुरोध गर्दा निज रावलले जथाभावी अध्यक्षलाई मुख छोडी माथिउजुरी गरिदिन्छु भन्ने धाक, धम्की दिई गाली–गलाैज र अपशब्द प्रयाेग गरेकाेप्रति यस युनियन घोर भर्त्सना गर्दछ ।’ नेकपा समर्थित कर्मचारीले बखतीलाई आवश्यक कारबाही नभए जस्तैसुकै कदम चाल्ने भनेर व्यवस्थापनलाई दबाब बढाएको छ भने कांग्रेस समर्थित कर्मचारीले उपल्लो तहको धाक–धम्की दिएर कामको वातावरण बिगार्ने प्रवृत्ति निरुत्साहित गर्न व्यवस्थापनलाई आग्रह गरेको छ । पछिल्लो डेढ वर्षयता दुवै संस्था मिलेर व्यवस्थापनलाई काममा सहयोग गर्दै आएकोमा पछिल्लो घटनाले भने उनीहरूको अराजक प्रवृत्ति पुनः दोहोरिने देखिएको छ । आयल निगमभित्र ट्रेडयुनियनमा आबद्ध कर्मचारीहरूले अनावश्यक विषयमा बखेडा निकालेर व्यवस्थापनलाई विभिन्न समस्यामा धकल्ने पुरानै प्रवृत्ति हो । करिब नाैवर्षअघि बोनस वितरण गर्ने निर्णय नगरे घर जान नदिने अडान राख्दै तत्कालीनएमाले समर्थित कर्मचारी संगठनले तत्कालीनकार्यकारी निर्देशक सुरेश अग्रवाललाई कार्यकक्षमै थुनेको थियो । त्यसपछि बाध्य भएर बोनस वितरण गर्ने निर्णय गरेका अग्रवाललाई नियमविपरीत बोनस बाँडेको आरोपमा अख्तियार दुरुपयोग अनुसन्धान आयोगले पक्राउ गरेको थियो । ",https://www.nayapatrikadaily.com/news-details/46883/2020-07-08
08/07/2020,यौनसम्पर्क प्रस्ताव अस्वीकार गरेपछि ज्यान मार्ने प्रयास गरेको आरोप,"यौनसम्पर्क प्रस्ताव अस्वीकार गरेपछि १८ वर्षीया एक युवतीको हत्या प्रयास गरेको आरोपमा महोत्तरीका एकजना पक्राउ परेका छन् । मनरा सिस्वा नगरपालिका– १ चौरियाका ३० वर्षीय सुबाेध कापरलाई हत्या प्रयासको आरोपमा पक्राउ गरेको प्रहरीले जनाएको छ । कापरलाई पीडितको बयानको आधारमा घटनाको भोलिपल्टै सोमबार घरैबाट पक्राउ गरेको प्रहरीको भनाइ छ । पीडित युवतीलाई बेहोस अवस्थाम स्थानीयले उद्धार गरेका थिए । स्थानीयले प्रहरीलाई खबर गरेपछि युवतीलाई जलेश्वर अस्पतालमा भर्ना गरेको थियो । हाल उनको स्वास्थ्य अवस्था निकै सुधार भएको अस्पतालका चिकित्सकले बताएका छन् । जिल्ला प्रहरी कार्यालय महोत्तरीका प्रवक्ता डिएसपी प्रकाश विष्टले यौन प्रस्ताव अस्वीकार गरेको कारण वा अन्य विषयमा कुटपिट भएको हो अनुसन्धान भइरहेको बताए । यस्तो भन्छिन् पीडित युवती आइतबार बिहान सुबाेधले मलाई घरबाट थोरै पर आँप बगैँचामा भेट्न बोलाएको थियो । प्रेम–सम्बन्ध पनि भएकाले भेट्न गएँ । तर सुबाेधले त्यही यौनसम्पर्कको प्रस्ताव राख्यो । मैले अस्वीकार गरेँ ।त्यसपछि उसले मलाई बेस्सरी कुट्न थाल्यो । लछारपछार गर्दै लाइटरले मेरो संवेदनशील अंग जलाउने प्रयास गऱ्याे। कपडा पनि जलायो । त्यसो गर्दासमेत मैले उसको प्रस्ताव नमानेपछि बियरको बोतल मुखमा कोच्यो । त्यसपछि म बेहोस भएछु । ‘घटना अमानवीय’ घटनाको खबर पाएलगत्तै ओरेक नेपाल र अन्तरमहिला सञ्जालका प्रतिनिधिले पीडितलाई भेटेका छन् । उनीहरूले घटना जघन्य र मानवताविरोधी भएको भन्दै पीडिकमाथि कानुनी कारबाही गर्न सरोकारवाला निकायको ध्यानाकर्षण गरेका छन् । ",https://www.nayapatrikadaily.com/news-details/46884/2020-07-08
