DATE,TITLE,MAIN_NEWS,SOURCE_URL
23/07/2020,"सीमा सुरक्षामा खटिएका सशस्त्र प्रहरीको हत्या, विवाहमा भएको विवादपछि चोर भन्दै लखेटेको दाबी","काठमाडौँ – सिराहाको सिराहा नगरपालिका-१७ स्थित नेपाल-भारत सीमा सुरक्षामा खटिएका सशस्त्र प्रहरी बल-एपिएफका जवान मनोहर कुमार यादबको हत्या भएको प्रहरीले दाबी गरेको छ। घटनामा संलग्न भएको आरोपमा प्रहरीले तीनजनालाई पक्राउ गरेको छ। सिराहा नगरपालिका-३ स्थित एक स्थानीय युवतीको विवाहमा भएको विवादपछि जवान यादबलाई चोर-चोर भन्दै तीन किलोमिटरसम्म खेदाएर नहरमा डुबाएर मारेको आरोप प्रहरीको छ। सोही ठाउँकी एक युवतीसँग यादबको प्रेम सम्बन्ध रहेको प्रदेश-२ प्रहरी प्रमुख डीआईजी धिरजप्रताप सिंहले जानकारी दिए।। ‘प्रेमिकाको आफन्तको विवाहमा यादब ती युवतीसहित पुगेका रहेछन्। जवानको प्रेम सम्बन्ध स्थानीय युवालाई मन परेको रहेनछ। विवाहमा मादक पदार्थ सेवन गरेका युवाहरुले विवादपछि जवान यादबलाई लखेटेको देखिन्छ’, डीआईजी सिंहले भने। महोत्तरीको सोनमा गाउँपालिकाका यादबको शव गत असार १६ गते सिराहा नगरपालिका-१४ खिरौनास्थित नहरमा भेटिएको थियो। घटनामा संलग्न भएको आरोपमा प्रहरीले सिराहा नगरपालिका-३ का २५ वर्षीय जयकेशकुमार यादब, २० वर्षीय दिपेशकुमार यादब र २२ वर्षीय मुकेशकुमार यादबलाई पक्राउ गरेको छ। ",https://deshsanchar.com/2020/07/23/387511/
22/07/2020,"बोली स्पष्ट नभएकी बालिका बलात्कृत, आरोपी पक्राउ",विराटनगर – मोरङको लेटांग नगरपालिकामा एक १६ वर्षीया बालिका बलाकृत भएकी छिन् । जिल्ला प्रहरी कार्यालय मोरङले स्पष्ट रुपमा बोल्न नसक्ने अशक्त बालिकाको गत असार २८ गते राती बलात्कार भएको जनाएको छ । मोरङका प्रहरी प्रमुख प्रहरी उपरीक्षक सन्तोष खड्काले घटनामा संलग्न आरोपी १९ वर्षीय भीम राईलाई पक्राउ गरिएको जनाएका छन् । लेटांग नगरपालिका ८ का स्थानीय राईलाई पीडित परिवारका सदस्य किटानी जाहेरी दिएपछि पक्राउ गरिएको प्रहरी उपरीक्षक खड्काले बताए । पीडितको जाहेरीसँगै अनुसन्धान तीव्र बनाएको प्रहरीले मंगलबार अपरान्ह पक्राउ गरेको उनको भनाइ छ । असार २८ गते साथीको घरमा बस्न गएकी पीडित बालिकामाथि बलात्कार भएको प्रहरीको प्रारम्भिक अनुसन्धानले जनाएको छ । पक्राउ परेका आरोपी राई पीडित बालिकाको साथीको नाता पर्ने आफन्त भएको बताइएको छ । पक्राउ परेको आरोपीमाथि प्रहरीले जबरजस्ती करणी मुद्धा अघि बढाउने भएको छ । ,https://deshsanchar.com/2020/07/22/387041/
18/07/2020,इनफ इज इनफ अभियानले फेरि थाल्यो सत्याग्रह,"काठमाडौँ – सरकारले आफूहरुसँग भएको सहमति कार्यान्वयका लागि कुनै पहल नगरेको भन्दै ‘इनफ इज इनफ’ अभियानले पुनः सत्याग्रह थालेको छ। सहमतिको १२ दिन बित्दा पनि स्वास्थ्य मन्त्रालयले सो कार्यान्वयनका लागि पहल नगरेकाले बाध्य भएर पुनः सत्याग्रह थालिएको अभियानले जनाएको छ। स्वास्थ्य मन्त्रालय र इनफ इज इनफका सत्याग्रहीबिच १२ दिनअघि हप्तादिन भित्र सहमति कार्यान्वयन गर्ने गरी १२ बुँदै सम्झौता भएको थियो। तर दोस्रो चरणको फलोअप बैठकपछि कार्यान्वयनका लागि पाँच दिनको समय थप गरिएको थियो। यो अविधिमा पनि केही पहल नभएको भन्दै अभियानले शनिबार दिउँसोदेखि काठमाडौँको बसन्तपुरमा पुनः सत्याग्रह हो। इनफ इज इनफ अभियानले बसन्तपुरमा आम सत्याग्रहको घोषणा गरेको हो । अहिले अभियन्ता इशान अधिकारी (इ) सत्याग्रहमा छन्। अभियानले उनलाई साथ दिन चाहनेलाई सत्याग्रहमा बस्नका लागि आह्वान समेत गरेको छ। सो अभियानले कोरोना भाइरस महामारी नियन्त्रणका लागि सरकारी प्रयास प्रभावकारी बनाउनु पर्ने, नागरिकको जीवन रक्षा गर्नु पर्ने, कोरोना भाइरसको परीक्षण शतप्रतिशत पीसीआर विधिबाट हुनु पर्नेसहितका माग राखेर आन्दोलन गरेका थिए। स्वास्थ्य मन्त्रालय र १२ दिनसम्म सत्याग्रहमा बसेका अभियन्ताबिच ती माग पूरा गर्नेबारे १२ बुँदे सहमति भएको थियो। ",https://deshsanchar.com/2020/07/18/385165/
17/07/2020,"सरकारविरुद्ध विद्यालय व्यवस्थापन रुस्ट, विद्यालयविरुद्ध शिक्षक आन्दोलित","काठमाडौं- कोरोना भाइरसको महामारी र निरन्तरको लकडाउनका कारण निजी विद्यालय व्यवस्थापन र सरकारबीच द्वन्द्व चर्किएको छ। आफूहरु चरम आर्थिक संकटमा परेको भन्दै निजी विद्यालयका दुई वटा छाता संगठन प्याब्सन र एनप्याब्सनले बुधबार संयुक्त विज्ञप्ति निकाल्दै साउन १ गतेदेखि अनलाइन कक्षाहरु बन्द गर्ने घोषणा गरेका थिए। उनीहरुले शिक्षकहरुलाई समेत बेतलबी विदामा राखेको घोषणा गरेका छन्। यता संस्थागत विद्यालय शिक्षक युनियन- इस्टुले बिहीबार आफूहरुले ६ महिनादेखि तलब नपाएको र लकडाउनको बहानामा विद्यालय व्यवस्थापनले रोजिरोटी खोसेको भन्दै आन्दोलनका कार्यक्रम सार्वजनिक गरेको छ। इस्टुले शुक्रबार आफ्ना समस्या समाधान गर्न पहल गर्न अनुरोध गर्दै राष्ट्रिय मानव अधिकार आयोगलाई ज्ञापनपत्र बुझाएको छ। ज्ञापनपत्रमा भनिएको छ, ‘गत शैक्षिक सत्रको पुस माघदेखिकै तलब नपाइरहेको अवस्थामा समेत निरन्तर शिक्षण सिकाई क्रियाकलापमा संलग्न देशभरका दुई लाखभन्दा बढी शिक्षक-कर्मचारीहरुलाई प्याब्सन, एनप्याब्सनको यस किसिमको निर्णयले नेपालको संविधान तथा शिक्षा तथा श्रम ऐन नियमावलीको ठाडो उल्लंघन गरेको छ। लकडाउनको बहानाबाजी गरी एकातिर अघिल्लो शैक्षिक सत्रदेखिको तलब नदिने तथा अर्कोतर्फ यस विषम परिस्थितिमा शिक्षक कर्मचारीको रोजिरोटी खोस्ने कार्य गैह्रकानुनी, अमानवीय एवम् घोर भत्सर्नायोग्य छ।’  कोरोना भाइरसको महामारीको नियन्त्रण तथा रोकथामका लागि सरकारले गत चैत ११ गतेदेखि देशब्यापी लकडाउन लागू गरेको थियो। भौतिकरुपमा उपस्थित भएर शैक्षिक क्रियाकलाप गर्न नमिल्ने भन्दै सरकारले विद्यालयलाई असार १ गतेदेखि अनलाइन कक्षा सञ्चालन गर्न निर्देशन दिएको थियो। सरकारले विद्यार्थी भर्नालगायत विषयमा भने केही बोलेको छैन। विद्यालय भौतिक रुपमा उपस्थित भएर कहिलेबाट शैक्षिक कार्यक्रम सुचारु हुन्छन् भन्ने निश्चित छैन। प्याब्सन र एनप्याब्सनद्वारा बुधबार जारी संयुक्त विज्ञप्तिमा भनिएको छ, ‘शैक्षिक सत्र २०७६ कै बाँकी बक्यौता रहेको, २०७७ सालको कुनैपनि शुल्क संकलन नगर्न सरकारले निर्देशन जारी गरेको, अधिकांश अभिभावकहरुको आर्थिक स्थिति अन्योल नै रहेको जस्ता विविध कारणले विद्यालयहरुको आम्दानी शून्य हुँदा विद्यालयहरुले शैक्षिक कर्मचारीहरुको तलबभत्ता, घरजग्गा भाडा, बैंक ऋणकाे साँवा ब्याज लगायतका दायित्वहरु पुरा गर्न नसकेको अवस्थामा निजी विद्यालयहरुले नेपाल सरकारका तर्फबाट समेत कुनैपनि सहयोग प्राप्त गर्न नसकेको हुँदा हालको लागि आफ्ना नियमित कार्यहरु स्थगन गरी शिक्षक कर्मचारीहरुलाई बेतलबी घर विदा दिनु नै उपयुक्त विकल्प हुने निष्कर्षमा दुवै छाता संगठनहरु पुगेका छौँ।’  दुवै संगठनहरुले निर्देशन विपरित शैक्षिक क्रियाकलाप गर्ने विद्यालयहरुकाे सदस्यता खारेज गर्ने चेतावनी दिएका छन्। भौतिकरुपमा शैक्षिक क्रियाकलाप गर्ने वातावरण नभएसम्म सम्पुर्ण कार्यक्रम स्थगित राख्ने‍ प्याब्सन र एनप्याब्सनको आशय छ। प्याब्सनका महासचिव कुमार घिमिरेले सरकारसँग आफ्ना मागहरु त्यति ठूलो नभएको बताए। ‘ हामीले सरकारसँग कर्जाको माग गरेका छौँ। नियमित आम्दानी भएका अभिभावकलाई शुल्क बुझाउन र तिर्न सक्ने अवस्था नभएका अभिभावकको हकमा सरकारले सहजीकरण गर्दिनुपर्ने हाम्रो भनाइ छ’, विद्यार्थी भर्नाको प्रकृया थालिनुपर्नेतर्फ संकेत गर्दै घिमिरेले भने।  ",https://deshsanchar.com/2020/07/17/384894/
16/07/2020,एकल महिलाको कपाल मुण्डन गरी दुर्व्यवहार गर्ने चारजना पक्राउ,"वीरगञ्ज– एकल महिलाको कपाल मुण्डन गरीदुर्व्यवहार गर्ने चारजनालाई प्रहरीले पक्राउ गरेको छ। प्रहरीले एकल महिलाको कपाल मुण्डन गरी दुर्व्यवहार गर्ने पर्साको छिपमहरमाई गाउँपालिका वडा नम्बर ३ जयमंगलापुरका ५५ वर्षिय मुनीलाल साह कानु, ४० वर्षीय राजदेव ठाकुर, ३५ वर्षकी इन्दुदेवी र ३२ वर्षकी सन्ध्यादेवीलाई पक्राउ गरेको पर्साका प्रहरी नायब उपरीक्षक मनोजित कुँवरले जानकारी दिए। उनीहरु चारैजनाले सोही ठाउँकी एक महिलाको चरित्रमाथि प्रश्न उठाउँदै सार्वजनिक रुपमा कपाल कपाल मुण्डन गरी दुर्व्यवहार गरेको कुँवरले बताए। पक्राउ परेकाहरु उनीहरु पीडित महिलाकै आफन्त तथा छिमेकी भएको कुँवरले जानकारी दिए। बुधबार बिहान उनीहरुले कपाल मुण्डन गर्दै ती महिलालाई घरबाट निकालेको सूचना पाएपछि ईलाका प्रहरी कार्यालय पोखरियाबाट खटिएको प्रहरी टोलीले उनीहरुलाई पक्राउ गरी आवश्यक कारवाहीको लागि जिल्ला प्रहरी कार्यालयमा बुझाएको छ। पाँच जना छोरी र एक छोराकी आमा रहेकी महिलाका श्रीमानको दुई वर्ष पहिले नै निधन भएको थियो। आर्थिक अवस्था कमजोर रहेकी उनी अरुको घरमा काम गरेर जिविकोपार्जन गर्दै आएकी थिइन्। घटनामा संलग्न रहेकाहरु प्रहरी नियन्त्रणमा रहेको तथा घटनाको बारेमा थप अनुसन्धान जारी रहेको प्रहरी नायब उपरीक्षक कुँवरले बताए। ",https://deshsanchar.com/2020/07/16/384271/
11/07/2020,प्रहरीलाई गालीगलौज र धम्की दिने पक्राउ,"विराटनगर – कार्यमा खटिएकी महिला प्रहरी जवानलाई हातपात र धम्की दिएका एक व्यक्ति शुक्रबार राती विराटनगरबाट पक्राउ परेका छन्। पक्राउ परेका महानगरपालिका १५ का ३९ वर्षीय राजमी मण्डल सीमा क्षेत्रमा विभिन्न खाद्यान्नको तस्करीमा संलग्न रहँदै आएको प्रहरीले जनाएको छ । जिल्ला प्रहरी कार्यालय मोरङका प्रमुख एवं प्रहरी उपरीक्षक सन्तोष खड्काको निर्देशनमा मण्डललाई पक्राउ गरिएको हो । मण्डल नेपाल भारतको सीमा क्षेत्रमा रहेर रजनीगन्धा, केराउ, मरिच तस्करीमा लाग्दै आएको प्रहरीले जनाएको छ । पछिल्लोसमय सीमाक्षेत्र बन्द र अन्य क्षेत्रमा सुरक्षाकर्मीको बाक्लो उपस्थिति हुनथालेपछि मण्डलले कार्यस्थलमा खटिएका प्रहरीलाई तस्करी गर्न सहजताका लागि दबाब धम्की दिँदै आएका थिए । मण्डलविरुद्ध प्रहरीले केहीदिन अघि अभद्र व्यवहार मुद्दा दर्ता गरेको थियो । फरार अवस्थामा रहेका मण्डललाई ईलाका प्रहरी कार्यालय रानीका प्रहरी निरीक्षक दीपक थापा नेतृत्वको टोलीले पक्राउ गरि कारबाही अघि बढाउन हिरासतमा लिएको हो । मण्डलले तस्करी नियन्त्रणमा सक्रिय रहेर अवैध सामान वारपार गर्न नदिने प्रहरीलाई अन्यत्र सरुवा गरिदिने र जागिरसमेत खाइदिने धम्की दिएको प्रहरी उपरीक्षक खड्काको भनाइ छ । प्रहरीले नेपालबाट भारततर्फ तस्करी गर्दै गरेको अवस्थामा असार १४ गतेराति विराटनगर–१६ दरैयाबाट ठूलो परिणामको केराउ बरामद गरेको थियो । एक लाख ९५ हजार मूल्य बढीको २ हजार ४ सय २५ किलो केराउ लोड गरिएको को १ त ६२१९ नम्बरको ट्याक्टर प्रहरीले नियन्त्रणमा लिएको थियो । प्रहरीका अनुसार सो तस्करीमा समेत मण्डलको हात रहेको छ । यसक्रममा प्रहरीले मण्डलले चढ्ने गरेको को.१४ प ६८७४ नम्बरको मोटरसाइकल नियन्त्रणमा लिएको थियो । प्रहरीका अनुसार ट्रयाक्टर नियन्त्रणमा लिने क्रममा मण्डलले मोटरसाइकल सडकमै छाडेर फरार भएका थिए । यद्धपी, बिहीबार उनले रानी कार्यालयबाट मोटरसाइकल लैजान प्रयास गरेका थिए । प्रहरी जवान कविता राउतले मोटरसाइकल लैजान नदिएपछि मण्डलले राउतमाथि गालीगलौज र हातपात गरेको प्रहरीको भनाइ छ । घटनापछि प्रहरी जवान राउतले मण्डलविरुद्ध किटानी जाहेरी दिएकी थिइन् । ",https://deshsanchar.com/2020/07/11/382160/
12/07/2020,खानेपानीका विषयमा विवाद हुँदा भएको झडपमा घाइते बालकको मृत्यु,धनगढी – डडेल्धुरामा खानेपानीको विषयमा विवाद हुँदा भएको झडपमा घाइते भएका एक बालकको मृत्यु भएको छ । झडपमा परी घाइते भएका डडेल्धुराको आलिताल गाउँपालिका ६ भौनाका गणेश महरका १२ वर्षीय छोराको मृत्यु भएको हो । आलिताल गाउँपालिका वडा नम्बर ६ मा दुई दिनअघि खानेपानीको विषयमा विवाद भई भएको झडपमा परी घाइते भएका बालकको उपचारका क्रममा मृत्यु भएको प्रहरीले जनाएको छ । उनको धनगढीस्थित सारथी अस्पतालमा उपचारका क्रममा मृत्यु भएको प्रहरीले जनाएको छ । घटनामा संलग्न रहेका चारजनालाई पक्राउ गरी अनुसन्धान थालिएको जिल्ला प्रहरी कार्यालय डडेल्धुराका प्रमुख प्रहरी नायब उपरीक्षक दधीराम न्यौपानेले बताए । ,https://deshsanchar.com/2020/07/11/382082/
09/07/2020,"भारतीय मिडियाविरुद्ध दाङमा प्रदर्शन, जी न्यूजका प्रस्तोताको तस्बिर जलाइयो",दाङ-भारतीय मिडियाविरुद्ध दाङमा प्रदर्शन गरिएको छ। प्रधानमन्त्री र चिनिया राजदुतलाई जोडेर आपत्तिजनक शब्द प्रयोग गरेर समाचार प्रशारण गरेपछि त्यसको बिरोधमा प्रदर्शन गरिएको हो।  युवा विद्यार्थीले समाचार वाचन गर्ने जी न्यूजका प्रस्तोताको तस्बिर समेत जलाएका छन्। तुलसीपुरको मदन आश्रित चोकमा युवा विद्यार्थीले बिरोध कार्यक्रम गरेका हुन।  ,https://deshsanchar.com/2020/07/09/381536/
08/07/2020,उपभोक्ता समिति गठन गर्ने बिषयमा विवाद हुँदा बारामा एक महिलासहित पाँच घाइते,"पर्सा-उपभोक्ता समिति गठन गर्ने बिषयमा बुधबार बिहान विवाद हुँदा बारामा एक महिलासहित पाँच जना घाइते भएका छन्।बाराको जितपुर सिमरा उप-महानगरपालिका वडा-२४ हरपुर टोलमा उपभोक्ता समिति गठन गर्ने बिषयमा विवाद हुँदा पाँचजना घाइते भएका हुन। डयाम तथा बाँध निर्माण गर्नको लागि प्रदेश सरकारबाट आएको एक करोड बजेटलाई खर्च गर्ने बिषयमा उपभोक्ता समिति गठन गर्ने बिषयमा बिबाद हुदा कुटाकुट भएको थियो। बिबाद हुँदा वडा नम्बर २४ बस्ने अमाना खातुन, रुहुल हक अन्सारी, सफिक अन्सारी, ईलियास अन्सारी, फुल महमद अन्सारी घाइते भएका हुन्। घाइते भएकामध्ये खातुन र ईलियासको अवस्था गम्भिर रहेकोले उनीहरुलाई उपचारको लागि बीरगञ्ज हेल्थ केयर अस्पतालमा भर्ना गरिएको बाराका प्रहरी प्रबक्ता गौतम मिश्रले जानकारी दिए।अन्य तीनजना भने समाान्य उपचार पछि घर फर्केका छन्। डयाम निर्माणको लागि प्रदेश सरकारबाट आएको एक करोड बजेटको लागि उपभोक्ता समिति गोप्य रुपमा मँगलबार राति नै बनाइएको थियो।त्यही विषयलाई लिएर स्थानीयबासीहरुले सोधपुछ गर्दा विवाद उत्पन्न भइ कुटपिट भएको स्थानीय जबिउल्लाह अन्सारीले बताए। उनले बजेट फ्रिज गर्ने गरि उपभोक्ता समिति गोप्य रुपमा बनाइएकाले स्थानीयबासीहरुले खोजी गरेपछि बिबाद सिर्जना भएको बताए।घटना पशचात पीडित पक्षले उजुरी समेत दिएको तथा सोही अनुसार घाउँको अवस्था हेरेर कारवाही प्रक्रिया अघि बढाईने र मुदा दर्ता कार्य पनि हुने मिश्रले बताए। ",https://deshsanchar.com/2020/07/08/380989/
07/07/2020,‘ई’ को पक्षमा दाङमा एकल प्रदर्शन,"दाङ– लगातार पानी परिरहेको छ । पानी छेक्न रेनकोट लगाएका छन् । तर, उनी बिस्तारै भिज्दै गए । झरीको बीचमा पनि उनी कत्तिपनी बिचलित भएनन् । ‘कोरोना कालमा सरकार परिवर्तन विकल्प होइन, इनफ इज इनफ अनशनको १२ औं दिन, माग पूरा कहिले’ लेखिएको प्लेकार्ड समातेर उभिरहे । राजधानीमा सरकार र ‘इनफ इज इनफ’को तर्फबाट अनशनरत सत्याग्राहीको बीचमा सहमती पत्रमा हस्ताक्षर भैरहँदा दाङको लमहीमा सत्याग्राहीको पक्षमा एकल प्रदर्शन चलिरह्यो । लमही नगरपालिका वडा नं. ५ निवासी अभियन्ता डिल्लीराज खनालले इनफ इज इनफका अभियन्ताको समर्थनमा लमहीमा एकल प्रदर्शन गरेका हुन्। ",https://deshsanchar.com/2020/07/07/380299/
